t=2026-06-14T14:48:39+0000 lvl=info msg="command usage" msg="Flag --domain has been deprecated, use --url instead"
t=2026-06-14T14:48:39+0000 lvl=info msg="no configuration paths supplied"
t=2026-06-14T14:48:39+0000 lvl=info msg="using configuration at default config path" path=/root/.config/ngrok/ngrok.yml
t=2026-06-14T14:48:39+0000 lvl=info msg="open config file" path=/root/.config/ngrok/ngrok.yml err=nil
t=2026-06-14T14:48:39+0000 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-14T14:48:39+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-14T14:48:39+0000 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-14T14:48:39+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-14T15:17:41+0000 lvl=info msg="join connections" obj=join id=e2e67ba4ecb6 l=127.0.0.1:8000 r=34.12.125.176:45868
t=2026-06-14T15:18:01+0000 lvl=info msg="join connections" obj=join id=119b1efe2bae l=127.0.0.1:8000 r=34.12.125.176:54534
t=2026-06-14T15:18:22+0000 lvl=info msg="join connections" obj=join id=4153a60fdc17 l=127.0.0.1:8000 r=34.12.125.176:48142
t=2026-06-14T15:18:42+0000 lvl=info msg="join connections" obj=join id=e8b97ba58c34 l=127.0.0.1:8000 r=34.12.125.176:36582
t=2026-06-14T15:19:02+0000 lvl=info msg="join connections" obj=join id=7f544d0b15f8 l=127.0.0.1:8000 r=34.12.125.176:45686
t=2026-06-14T15:19:22+0000 lvl=info msg="join connections" obj=join id=a5c455688a4b l=127.0.0.1:8000 r=34.12.125.176:50890
t=2026-06-14T15:19:42+0000 lvl=info msg="join connections" obj=join id=ab2f021a9d0c l=127.0.0.1:8000 r=34.12.125.176:57832
t=2026-06-14T15:20:02+0000 lvl=info msg="join connections" obj=join id=3e661ed3869c l=127.0.0.1:8000 r=34.12.125.176:34574
t=2026-06-14T15:20:22+0000 lvl=info msg="join connections" obj=join id=7a5befd6ecaa l=127.0.0.1:8000 r=34.12.125.176:38592
t=2026-06-14T15:20:42+0000 lvl=info msg="join connections" obj=join id=8a9109380ecb l=127.0.0.1:8000 r=34.12.125.176:55830
t=2026-06-14T15:21:03+0000 lvl=info msg="join connections" obj=join id=3e4826bb4b8b l=127.0.0.1:8000 r=34.12.125.176:39404
t=2026-06-14T15:21:23+0000 lvl=info msg="join connections" obj=join id=3292d45902ec l=127.0.0.1:8000 r=34.12.125.176:54006
t=2026-06-14T15:21:43+0000 lvl=info msg="join connections" obj=join id=f752597519e8 l=127.0.0.1:8000 r=34.12.125.176:51972
t=2026-06-14T15:22:03+0000 lvl=info msg="join connections" obj=join id=4b9ca3933de3 l=127.0.0.1:8000 r=34.12.125.176:37266
t=2026-06-14T15:22:23+0000 lvl=info msg="join connections" obj=join id=ce2648e731f4 l=127.0.0.1:8000 r=34.12.125.176:56486
t=2026-06-14T15:22:43+0000 lvl=info msg="join connections" obj=join id=c71bb3e670b5 l=127.0.0.1:8000 r=34.12.125.176:54316
t=2026-06-14T15:23:03+0000 lvl=info msg="join connections" obj=join id=978c58144cfa l=127.0.0.1:8000 r=34.12.125.176:33658
t=2026-06-14T15:23:24+0000 lvl=info msg="join connections" obj=join id=2f5dc4e825f4 l=127.0.0.1:8000 r=34.12.125.176:39646
t=2026-06-14T15:23:44+0000 lvl=info msg="join connections" obj=join id=fd3e49e99bbc l=127.0.0.1:8000 r=34.12.125.176:47590
t=2026-06-14T15:24:04+0000 lvl=info msg="join connections" obj=join id=d860eb4e8f24 l=127.0.0.1:8000 r=34.12.125.176:55432
t=2026-06-14T15:24:24+0000 lvl=info msg="join connections" obj=join id=6d24caf98d22 l=127.0.0.1:8000 r=34.12.125.176:36438
t=2026-06-14T15:24:44+0000 lvl=info msg="join connections" obj=join id=936d8a692d8d l=127.0.0.1:8000 r=34.12.125.176:55406
t=2026-06-14T15:25:04+0000 lvl=info msg="join connections" obj=join id=424dfd6bbfd2 l=127.0.0.1:8000 r=34.12.125.176:44428
t=2026-06-14T15:25:24+0000 lvl=info msg="join connections" obj=join id=63b724fef773 l=127.0.0.1:8000 r=34.12.125.176:59250
t=2026-06-14T15:25:45+0000 lvl=info msg="join connections" obj=join id=c79bd5f2ef5f l=127.0.0.1:8000 r=34.12.125.176:44160
t=2026-06-14T15:26:05+0000 lvl=info msg="join connections" obj=join id=229b5a7b25dc l=127.0.0.1:8000 r=34.12.125.176:58504
t=2026-06-14T15:26:25+0000 lvl=info msg="join connections" obj=join id=89f5ecb3dd6f l=127.0.0.1:8000 r=34.12.125.176:52704
t=2026-06-14T15:26:45+0000 lvl=info msg="join connections" obj=join id=e437eba79bce l=127.0.0.1:8000 r=34.12.125.176:44542
t=2026-06-14T15:27:05+0000 lvl=info msg="join connections" obj=join id=5e80f2742f93 l=127.0.0.1:8000 r=34.12.125.176:47990
t=2026-06-14T15:27:25+0000 lvl=info msg="join connections" obj=join id=f849be5e64b9 l=127.0.0.1:8000 r=34.12.125.176:39798
t=2026-06-14T15:27:45+0000 lvl=info msg="join connections" obj=join id=780deb313a70 l=127.0.0.1:8000 r=34.12.125.176:51702
t=2026-06-14T15:28:05+0000 lvl=info msg="join connections" obj=join id=082afca2064c l=127.0.0.1:8000 r=34.12.125.176:43402
t=2026-06-14T15:28:26+0000 lvl=info msg="join connections" obj=join id=f795a07cd040 l=127.0.0.1:8000 r=34.12.125.176:56128
t=2026-06-14T15:28:46+0000 lvl=info msg="join connections" obj=join id=0d4408e043c6 l=127.0.0.1:8000 r=34.12.125.176:54002
t=2026-06-14T15:29:06+0000 lvl=info msg="join connections" obj=join id=f1b26fa7e4b4 l=127.0.0.1:8000 r=34.12.125.176:49182
t=2026-06-14T15:29:26+0000 lvl=info msg="join connections" obj=join id=99de911912d2 l=127.0.0.1:8000 r=34.12.125.176:39804
t=2026-06-14T15:29:46+0000 lvl=info msg="join connections" obj=join id=d9dd753eff65 l=127.0.0.1:8000 r=34.12.125.176:51604
t=2026-06-14T15:30:06+0000 lvl=info msg="join connections" obj=join id=dc9ad7eb356c l=127.0.0.1:8000 r=34.12.125.176:55268
t=2026-06-14T15:30:26+0000 lvl=info msg="join connections" obj=join id=800416e5bfcd l=127.0.0.1:8000 r=34.12.125.176:36982
t=2026-06-14T15:30:47+0000 lvl=info msg="join connections" obj=join id=d66626c9c0e4 l=127.0.0.1:8000 r=34.12.125.176:54500
t=2026-06-14T15:30:48+0000 lvl=info msg="join connections" obj=join id=7eacafa1f328 l=127.0.0.1:8000 r=[2405:4802:9191:bb30:a8f5:7699:189e:b83c]:55874
t=2026-06-14T15:31:07+0000 lvl=info msg="join connections" obj=join id=68683536fb25 l=127.0.0.1:8000 r=34.12.125.176:51788
t=2026-06-14T15:31:27+0000 lvl=info msg="join connections" obj=join id=c894c691f9f9 l=127.0.0.1:8000 r=34.12.125.176:43464
t=2026-06-14T15:31:47+0000 lvl=info msg="join connections" obj=join id=e25670907dba l=127.0.0.1:8000 r=34.12.125.176:42096
t=2026-06-14T15:32:07+0000 lvl=info msg="join connections" obj=join id=939328dd67ec l=127.0.0.1:8000 r=34.12.125.176:43882
t=2026-06-14T15:32:27+0000 lvl=info msg="join connections" obj=join id=2f4a76b331af l=127.0.0.1:8000 r=34.12.125.176:58330
t=2026-06-14T15:32:47+0000 lvl=info msg="join connections" obj=join id=6ed5ea57299e l=127.0.0.1:8000 r=34.12.125.176:48470
t=2026-06-14T15:33:07+0000 lvl=info msg="join connections" obj=join id=f2d4118a90d7 l=127.0.0.1:8000 r=34.12.125.176:36396
t=2026-06-14T15:33:28+0000 lvl=info msg="join connections" obj=join id=18ecc1638891 l=127.0.0.1:8000 r=34.12.125.176:35474
